id,locale,title,description,forecast_meaning_direct,forecast_meaning_inverted,created_at,updated_at,rune_id
1,ru_ua,Fehu,"<p><strong>Общее значение:</strong> умножение богатства, финансовое благополучие, успех, подъём.</p><p><strong>Значение для здоровья:</strong> укрепление иммунитета и организма в целом. Избавляет от головокружений. Однако эту руну следует применять с осторожностью во время простуды и жара, так как эта руна повышает температуру. (однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; немедленно обратитесь к профессиональному врачу и строго следуйте его инструкциям! В вопросах здоровья полагаться только на руны и любую другую эзотерику ни в коем случае нельзя! Это может использоваться только как вспомогательная или профилактическая мера!).</p><p><strong>Применение:</strong> руна Феу помогает обрести и увеличить материальное благополучие, ускоряет достижение успеха. Эту руну хорошо носить с собой во время совершения покупок, чтобы избежать приобретения некачественных или испорченных товаров. Кроме того, она защищает от негативных влияний и повышает сопротивляемость организма. В долгих отношениях эта руна помогает вернуть страсть и физическое влечение.</p>","<div><p>Представленная руна касается, прежде всего, материальных ценностей. Она может также помогать наладить отношения между представителями разных полов. Она обозначает не только приобретение, но и последующее сохранение.</p><p>Что касается такого значения, как домашний скот, она предполагает материальную выгоду. Прямая позиция данной руны &ndash; непосредственное указание на форму процветания. Кроме прочего, Феу связана с осуществлением чего бы то ни было: если вы к чему-нибудь долго стремились, вы этого обязательно достигнете. Будет преодолено как персональное противодействие в виде другого человека, который расстраивает то, что вы запланировали, так и объективное &ndash; в виде плохой ситуации и ударов судьбы.</p><p>В раскладе на результат данный знак служит указанием на то, что в ваших руках есть все необходимое для победы над злом. Следует лишь применить усердие и напряженно работать.</p><p>Если Феу выпадает в комбинации с рунами, обозначающими любовь, возможно, вас ожидает романтическая выгода. К кому бы вы ни проявили нежные чувства, их примут благосклонно &ndash; необходимо лишь быть достаточно смелым для первого шага.</p></div><p>&nbsp;</p>","<div><p>Данная руна говорит об отчуждении. Могут возникнуть затруднительные ситуации. Например, в жизни может случиться какое-нибудь серьезное расстройство &ndash; потеря собственности, или наступление какой-нибудь сомнительной ситуации. Возможно, вы будете вынуждены наблюдать за постепенным исчезновением того, что вы когда-то для себя приобрели. Поводов для радостей немного и даже если они появятся, слишком бездумно веселиться не следует.</p><p>В любовном раскладе Феу в таком положении предупреждает о спорах и ссорах с близкими и любимыми, а также об ухудшении отношений и недомолвках.</p><p>Может произойти ухудшение эмоционального состояния и упадок сил.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,1
2,ru_ua,Uruz,"<p><strong>Общее значение:</strong> большая сила, быстрые и неожиданные изменения.</p><p><strong>Значение для здоровья:</strong> увеличивает физическую силу, устраняет страх чем-нибудь заболеть (ипохондрию), помогает женщинам с проблемами репродуктивной функции. Применяется в период выздоровления для поддержания сил. (однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; немедленно обратитесь к профессиональному врачу и строго следуйте его инструкциям! В вопросах здоровья полагаться только на руны и любую другую эзотерику ни в коем случае нельзя! Это может использоваться только как вспомогательная или профилактическая мера!).</p><p><strong>Применение:</strong> ускоряет перемены и реализацию планов. Вдохновляет и усиливает творческую энергию. Мужчину делает сильнее, а женщину &ndash; привлекательнее. Помогает добиться любви и завязать дружбу, а так же восстановить разрушенные отношения.</p>","<div><p>В таком положении Уруз говорит о том, что должно начаться время новых начинаний, старые дела должны быть завершены и их необходимо отпустить. Границы жизни уже преодолели умирающую стадию ради преобразования в новую форму. Это в определенном смысле указывает на смерть, произошедшую внутри человека, а также на новые возможности, которые поначалу могут показаться потерей. Возрождение начнется из пепла прошлых действий и явлений.</p><p>Поскольку Уруз символизирует дикого быка или зубра, она почти аналогична Феу. Но если Феу &ndash; это бык, далекий от дикости, домашний и вполне предсказуемый, то Уруз является буйной энергией жизни, которая принадлежит отважному зубру. Зубр символизирует мужественность и указывает на хорошее здоровье и активную сопротивляемость человеческого организма.</p><p>Иногда это указание на представителя мужского пола в его взаимоотношениях и связано с сильными эмоциями. Кроме того, это может быть воля человека, который задает вопрос &ndash; чего же он в действительности желает?</p><p>Также руна отличается особенным мужеством. Она правит изменениями, имеющими неожиданный характер. В результате таких изменений человек спешит обратиться к самому себе для использования сил, предоставленных руной. Такие изменения могут оказаться природными, и не стоит проходить мимо них.</p></div><p>&nbsp;</p>","<div><p>В перевернутом положении Уруз означает дезорганизованную силу и возможности, которые были упущены. Начинает казаться, что с вами борются вашими же силами. Это своеобразный и тревожный сигнал, намекающий на определенные неудачи в будущем. Вот почему необходимо серьезно проанализировать свою личность и не сворачивать на темную дорогу со светлого пути. Будучи на мели, все равно необходимо учиться нырять.</p><p>Вы не сможете использовать момент из-за болезни или невысокой жизненной энергии. Однако не следует огорчаться, так как если рядом оказались положительные руны, то возможны и хорошие перемены.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,2
3,ru_ua,Thurisaz,"<p><strong>Общее значение: </strong>позволяет сохранить вокруг порядок, стимулирует вдохновение.</p><p><strong>Значение для здоровья:</strong> помогает при неожиданной болезни, которая сопровождается тяжелым состоянием. Облегчает ревматизм, лечит камнеобразование, помогает мужчинам с расстройством репродуктивной функции. (однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; немедленно обратитесь к профессиональному врачу и строго следуйте его инструкциям! В вопросах здоровья полагаться только на руны и любую другую эзотерику ни в коем случае нельзя! Это может использоваться только как вспомогательная или профилактическая мера!).</p><p><strong>Применение:</strong> облегчает достижение цели в трудной ситуации. Наводит на размышления, помогает здраво оценить ситуацию и избежать неверного решения. Способствует концентрации и медитации. Позволяет выйти на контакт с собственным подсознанием. Защищает от обмана и мошенничества.</p>","<p>Турисаз обозначает ворота, к которым не следует приближаться без предварительного глубокого анализа. Даже прохождение через них невозможно, если не размышлять. Прошлая жизнь остается позади, а о прошлых победах, радостях и печалях остается только память. Осмотрите все вокруг, чтобы благословить и отпустить. Затем смело делайте шаг за врата.</p><p>Руна обозначает также острый шип, молот Тора &ndash; &laquo;Мьёльнир&raquo;. Бог использует это оружие, чтобы защищать людей и богов.</p><p>Знак ассоциируется с протекцией и удачей, тем более, если оказывается возле Альгиз. Порою это подразумевает непредвиденную удачу, свалившеюся вам на голову, источник которой совершенно неизвестен. Вам лишь повезет оказаться там, где и когда это необходимо. Но в некоторых случаях Турисаз появляется в раскладе, чтобы показать, что везение скоро закончится. Так что не нужно быть слишком самоуверенным и расчитывать на дальнейшую удачу. Необходим критический анализ сложившейся ситуации &ndash; это поможет вам не броситься вперед, сломя голову.</p><p>Иногда руна указывает на отсутствие справедливости или слишком большое упрямство. Ведь не так уж легко достичь желаемого результата.</p><p>Комбинируясь с Хагалаз или Иса, этот знак сообщает о необходимости отложить попытки хотя бы временно (пусть расклад скажет, на какой срок). Если же отмечается комбинация с Манназ &ndash; спешите спросить совета у мудрых людей.</p>","<p>В таком положении Турисаз обозначает вашу слабость и зависимость от внешних обстоятельств. Следовательно, следует поразмыслить о текущей ситуации, проанализировать окружающую обстановку и сделать правильные выводы.</p><p>Нередко люди обманывают себя, выбирая совсем не те мотивы, которые им нужны и, соответственно, создают множество новых проблем, которые оказываются еще более неприятными по сравнению с изначальными затруднениями.</p><p>В принципе, особой разницы между прямой и обратной позицией у Турисаз нет. Необходимо лишь быть более внимательным к тому, что может сообщить руна и к ее комбинациям с другими символами. Учитесь анализировать ситуацию и относиться к ней правильно.</p>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,3
4,ru_ua,Ansuz,"<p><strong>Общее значение</strong>: &nbsp;усиливает тягу к знанием и способность их применить. Облегчает взаимоотношения с людьми. Стимулирует творческое мышление.</p><p><strong>Значение для здоровья</strong>: благотворно влияет на органы чувств, облегчает мигрени и заикание. Полезна при болезнях горла и полости рта. (<em>однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; обратитесь к профессиональному врачу и строго следуйте его инструкциям! Полагаться только на руны и любую другую эзотерику ни в коем случае нельзя!</em>)</p><p><strong>Применение</strong>: помогает понять неочевидное. Помогает найти контакт со своим внутренним &laquo;я&raquo;. Помогает сдать экзамен, заключить выгодный договор.</p>","<div><p>В данном положении Ансуз обозначает руку посланника. Это означает, что вы можете ожидать всевозможные подарки судьбы. Даже получение предупреждения следует рассматривать в качестве дара. При встречах с людьми проявляйте внимательность &ndash; тем более, это касается случайных встреч с более мудрыми и пожилыми. Вы обретете чувство абсолютного единства.</p><p>Она является указанием на слова, которые были произнесены. Также она говорит о некоем совете, которым необходимо воспользоваться и о мудрости, которую необходимо понять. Кроме того, возможно, вам предстоит какой-нибудь жизненный экзамен.</p><p>Ансуз говорит о том, что вам необходимо быть осторожным, более вдумчивым и прислушиваться к рекомендациям старших и мудрых. Такие советы могут исходить от родителей или уважаемых людей, а потому отношение к ним должно быть максимально внимательным.</p><p>Комбинируясь с Беркана, руна предполагает полезный совет от родственника. Комбинация с Отал обозначает совет от пожилого родственника. Наконец, с Йер она обозначает помощь юриста или же чиновника с важной должностью.</p><p>Бывает и так, что появление Ансуз в раскладе обещает в будущем обучение новой специальности или столкновение с такими жизненными ситуациями, с которыми вы в прошлом никогда не сталкивались. Будьте готовы к тому, что вам поможет человек, к мнению которого следует прислушаться и который вас сможет многому научить.</p></div>","<div><p>Ключевым словом в таком положении символа является тщетность. Возможно, вы многое не понимаете и совершаете ложные манипуляции. Следует бороться со своим унынием. Данный знак указывает на неизбежность текущей ситуации и одновременно ее своевременность.</p><p>Вас, наверняка, беспокоит прерванная связь или недостаточное понимание окружающих.</p><p>В некоторых случаях Ансуз обозначает обман. В этот период времени необходимо быть осторожным, не верьте никому с первого слова и анализируйте все поступки окружающих вас людей. Рядом с руной Одина &ndash; данный символ говорит о вечном студенте, получающем знания ради самих знаний.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,4
5,ru_ua,Raidho,"<p><strong>Общее значение</strong>: циклическое развитие, рост, дорога, движение. Помогает принимать здравые решения.</p><p><strong>Значение для здоровья</strong>: помогает при ревматизме и подагре, проблемах с жкт. (<em>однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; немедленно обратитесь к профессиональному врачу и строго следуйте его инструкциям! В вопросах здоровья полагаться только на руны и любую другую эзотерику ни в коем случае нельзя! Это может использоваться только как вспомогательная или профилактическая мера!</em>)</p><p><strong>Применение</strong>: защищает во время путешествий, оберегает транспортные средства. Помогает при судебных разбирательствах. Помогает найти решение проблемы, компромисс. Помогает избегать ссор и споров, помогает в бизнесе.</p>","<div><p>Райдо в данном положении обозначает связь и обретение гармонии между двумя сторонами и двумя элементами. Длительное путешествие заканчивается окончательным воссоединением. Верхние, а также нижние пределы сливаются в единое целое. Если вы будете достаточно чистым, сможете действовать правильно. Нужно лишь довериться процессу.</p><p>Руна обозначает повозку. Она символизирует поездки, предприятия и визиты, которые необходимы для вашего удовольствия. Иногда такой смысл может быть аллегорическим &ndash; путешествие, как некое движение души, духовное развитие. Наконец-то настало время для саморазвития. Если вы уже выбрали для себя духовный путь, продолжайте придерживаться его.</p><p>Это указание на хороший шанс для переговоров и дискуссий. Наступает время, которое благоприятно для принятия логических выводов и формирования стратегических решений.</p><p>Что касается финансовых областей, Райдо указывает на время для покупок, а также продаж. Кроме того, это получение информационных данных или неожиданных сообщений.</p><p>Нередко это указание на вашу нерешительность, связанную с решением проблемы. Необходимо быть осторожнее, если вы не уверены, что предполагаемое вами решение вам подходит, лучше на него не полагаться. При выпадении руны с другими отрицательными рунами &ndash; вам следует не доверять другим людям. Комбинация с Перт обозначает нарушенные обещания. Комбинация с перевернутой Альгиз говорит о возможности быть обманутым.</p></div>","<div><p>Райдо свидетельствует о неожиданности. Следует быть внимательнее к каждому человеку, встречаемому в повседневной жизни. Общаясь с друзьями, следует быть максимально осторожным.</p><p>Личные отношения также требуют внимательности. Вероятность расставаний гораздо более вероятна, чем встреч и примирений. Чтобы оставаться в хорошем настроении вам придется приложить достаточно много усилий.</p><p>Еще Райдо может являться символом путешествия или поездки, избежать которого будет практически невозможно. Это может быть как посещение заболевшего родственника, так и указание на других людей, решивших вас посетить, когда вам это не совсем удобно.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,5
6,ru_ua,Kennaz,"<p><strong>Общее значение:</strong> пробуждает аналитические способности, энтузиазм и обеспечивает ясность ума. Приближает успех.</p><p><strong>Значение для здоровья</strong>: снимает жар. Предотвращает и уменьшает воспаления. Помогает при проблемах с желудком и поджелудочной железой. Помогает при ожогах и проблемах с репродуктивными органами. (<em>однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; обратитесь к профессиональному врачу и строго следуйте его инструкциям! Полагаться только на руны и любую другую эзотерику ни в коем случае нельзя!</em>)</p><p><strong>Применение</strong>: ускоряет исполнение желаний и достижение целей. Помогает найти ответы или правильный путь. Охраняет здоровье. Вдохновляет. Пробуждает страсть в отношениях.</p>","<div><p>Руна обозначает раскрытие, рассеивание темноты и наступление света.</p><p>Хотя вы и являетесь ограниченными и зависимыми в своих действиях, но одновременно служите центром и источником гармонии, а также благоприятных сил. Пусть ранее вам приходилось действовать в темноте, сегодня достаточно света для понимания того факта, что именно вы стали пациентом.</p><p>Кано обозначает огненный элемент, однако если сравнивать ее с Феу, то такое пламя факела будет дружественным, теплым и вполне контролируемым. Знак наделяет жизненной энергией. Наряду с Уруз он свидетельствует о хорошем здоровье и возможности восстановить силы в оперативном порядке.</p><p>Помните о том, насколько важной является ваш позитивный настрой. Если у вас имеются какие-нибудь проблемы, то при появлении этой руны они быстро разрешатся.</p><p>Прямая позиция также связана с защитой, которая обеспечивается этим знаком. Вас одолевают тревоги? Значит, наступило время для передышки. Пока что ваши испытания могут быть контролируемы и их будет не так уж много.</p><p>Вот и время для благоприятных возможностей, когда должно прийти что-нибудь хорошее. Начинайте новые отношения, возможно, даже романтические. Когда Кано затрагивает любовные отношения, обычно это касается представителя мужского пола, который должен что-то преподнести представительнице женского пола. Причем, дар не обязательно будет материальным &ndash; это может быть и словесное преподношение.</p></div>","<div><p>Обозначает помрачение и возможные потери. Какой-нибудь из аспектов вашей персоны может быть разрушен. Соответственно, необходимо будет отказаться от того, что уже отжило.</p><p>Ситуация, во время которой случится потеря, может быть любой. Может погибнуть брак, казавшийся успешным, или долгая и верная дружба. Такое прошлое лучше отбросить, даже согласившись на внутреннюю пустоту. Бояться не следует, именно это и рекомендует Кано.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,6
7,ru_ua,Gebo,"<p><strong>Общее значение</strong>: Соединение и объединение, любовь, щедрость</p><p><strong>Значение для здоровья</strong>: Укрепляет нервную систему, успокаивает нервный тик и невралгию. Помогает при сексуальных расстройствах и заболеваниях половых органов. (<em>однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; обратитесь к профессиональному врачу и строго следуйте его инструкциям! Полагаться только на руны и любую другую эзотерику ни в коем случае нельзя!</em>)</p><p><strong>Применение</strong>: Притягивает любовь и помогает выбрать наилучшего кандидата в партнёры. Укрепляет сложившиеся романтические и сексуальные отношения. Приводит в гармонию душу и тело. Объединяет, укрепляет партнёрство в делах. Обеспечивает успех делам, совершенным с кем-то в партнёрстве.</p>","<div><p>Реальное сотрудничество возможно лишь между теми людьми, которые самостоятельны и являются целостными и особенными личностями. Знак означает дарование свободы, оказывающей влияние на происхождение всех остальных подарков.</p><p>Гебо, действительно, представляет собой дар, который радует сердце, стоит лишь увидеть ее выпавшей раскладе.</p><p>Если вы являетесь &laquo;бездомным странником&raquo;, то выпадение в гадании Гебо будет говорить о некоем приобретении, то есть, если у вас ничего нет, ожидайте получение некоего имущества.</p><p>Гебо сочетает в себе сразу пару рун Иса, поскольку ей по силам объединить энергии нескольких личностей для организации большой силы. Индивидуумы объединяются, чтобы достичь определенной цели.</p><p>Оставляйте свободное пространство, чтобы туда проникали небесные ветра. Благодаря этому сотрудничество приобретет вдохновенность и священство. Руна является гармонией женской, а также мужской сущности и, соответственно, заканчиваются все конфликты. Кроме того, это баланс умственного с физическим.</p><p>Ее действие практически всегда позитивно, поскольку знак предвещает благоприятный результат всех дел, которые вы начнете.</p><p>Гебо является символом, указывающим на партнерство, касающееся не только деловых, но и любовных отношений. Она часто свидетельствует о романтических чувствах &ndash; об укреплении каких-нибудь долгих взаимоотношений или даже брака. Слушайте собственную интуицию.</p><p>Руна обозначает также щедрость, которая войдет в вашу судьбу. Возможно, это окажется эмоциональным и любовным даром или же очень своевременным материальным подарком.</p><p>Иногда она показывает на эмоциональное происхождение вашей проблемы. Нередко она обозначает конец тревог, наступление согласия и спокойствия. Вы определенно сможете достичь всех целей, которые поставили перед собой, стоит лишь окружить себя светлым и ясным пространством и позволить ему постоянно пребывать с вами.</p><p>Символ единения и партнерства, спокойствия и безмятежности.</p></div>","",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,7
8,ru_ua,Wunjo,"<p><strong>Общее значение</strong>: Победа, радость, освобождение энергии, достижение поставленных целей, безусловная любовь, слава</p><p><strong>Значение для здоровья</strong>: действует успокаивающе. Повышает иммунитет, помогает при инфекционных заболеваниях. (<em>однако, если вы действительно чувствуете недомогание и(ли) вам поставлен официальный диагноз &ndash; немедленно обратитесь к профессиональному врачу и строго следуйте его инструкциям! В вопросах здоровья полагаться только на руны и любую другую эзотерику ни в коем случае нельзя! Это может использоваться только как вспомогательная или профилактическая мера!</em>)</p><p><strong>Применение</strong>: Помогает выбрать наилучший момент для &nbsp;действий. Ускоряет достижение целей и осуществление желаний. Притягивает счастье. Помогает в минуты грусти и депрессии. Укрепляет командный дух.</p>","<p>Вуньо в прямом положении является плодоносной ветвью. Эпоха мучений уже позади и вы, в определенном смысле, смогли отыскать себя. Можно получить заслуженные результаты, которые могут касаться как материальных ценностей и неожиданных сюрпризов, так и эмоциональных вознаграждений.</p><p>Даже если раньше энергия была заблокирована, она окажется открытой и будет сопровождаться радостью.</p><p>Вуньо связана с радостью и если она выпадает в прямой позиции, то будьте готовы к &nbsp;счастью и благополучию, входящим в вашу судьбу. Руна является прекрасным и радостным предзнаменованием.</p><p>Когда этот знак сочетается с остальными рунами, вы сможете достигнуть успеха в тех областях, которыми они управляют. Если Вуньо комбинируется с рунами, связанными с любовными отношениями, наверняка, речь пойдет о сильном и глубоком чувстве. Такая руна может указывать на человека, которого вы любите и к которому вы привязаны. Соответственно, это может быть указанием на какие-то совместные действия, которые закончатся успехом.</p><p>Представленная руна нередко выпадает артистам, художникам, остальным творческим людям, показывая, насколько творчество важно для их благополучия.</p><p>Но если Вуньо в гадании характеризует кризисную ситуацию, это следует понимать как наступление достаточно сложного, но не застойного периода. Вы словно находитесь в темной воде, однако свет отсутствует временно. Пока же учитесь видеть даже в темноте.</p><p>Следует указать на длительность и трудность процесса рождения, тяжесть кризиса. Переплетение света и тени все также актуально. Необходимо размышлять. Вы сами увидите, что все происходящее на данный момент представляет собой испытание. Будьте сосредоточены на том, что происходит в настоящий момент. Следует верить в собственные силы и тогда все должно получиться.</p>","<div><p>Если данный символ выпал перевернутым, его значение окажется противоположным изначальному. Если вы что-то задумали, то ожидание результата будет слишком долгим и, соответственно, ныне переживаемое время &ndash; самое сложное.</p><p>Если такой вариант еще и комбинируется с Эваз, это предсказание неудачной поездки, во время которой могут произойти поломки или аварии.</p></div>",2022-03-27 11:20:30+03,2022-03-27 11:20:30+03,8
